Name,symbol,address,owner,decimals,coingecko,logo
Bibox Token,BIX,https://etherscan.io/address/0xb3104b4b9da82025e8b9f8fb28b3553ce2f67069,0xc6c95cda7373b0b4b62bed21016057a8145d7787,18,https://www.coingecko.com/en/coins/bibox-token,https://ethplorer.io/images/BIXb3104b4b.png
CryptalDash,CRD,https://etherscan.io/address/0xcaaa93712bdac37f736c323c93d4d5fdefcc31cc,0xa5a6707dbad87609c8b21270653e7a0490e9bf21,18,https://www.coingecko.com/en/coins/cryptaldash,https://ethplorer.io/images/CRDcaaa9371.png
King DAG,KDAG,https://etherscan.io/address/0x95e40e065afb3059dcabe4aaf404c1f92756603a,0x955ae8ab2b8d2e51cb2e1cedd17447e1b1fa4a23,18,https://www.coingecko.com/en/coins/kdag,https://ethplorer.io/images/KDAG95e40e06.jpg
Holo,HOT,https://etherscan.io/address/0x6c6ee5e31d828de241282b9606c8e98ea48526e2,0x0fc4ea7046379b89b7fb3e6914bb1962f8473984,18,https://www.coingecko.com/en/coins/holotoken,https://ethplorer.iohttp://ethplorer.io/images/holo.png
Metal,MTL,https://etherscan.io/address/0xf433089366899d83a9f26a773d59ec7ecf30355e,0x,8,https://www.coingecko.com/en/coins/metal,https://ethplorer.io/images/MTLf4330893.png
Golem,GNT,https://etherscan.io/address/0xa74476443119a942de498590fe1f2454d7d4ac0d,0x,18,https://www.coingecko.com/en/coins/golem,https://ethplorer.io/images/GNTa7447644.png
Union Fair Coin,UFC,https://etherscan.io/address/0x995de3d961b40ec6cdee0009059d48768ccbdd48,0xbc467c39d1695c2683baf615aa8a297b89a5f0c7,8,https://www.coingecko.com/en/coins/union-fair-coin,https://ethplorer.io/images/UFC995de3d9.png
Bluzelle,BLZ,https://etherscan.io/address/0x5732046a883704404f284ce41ffadd5b007fd668,0xb6e617efffe4e529b855f4e45c236c0dac09a0b2,18,https://www.coingecko.com/en/coins/bluzelle,https://ethplorer.io/images/BLZ5732046a.png
BKEX Token,BKK,https://etherscan.io/address/0xd0bd12a8d5ebca1e2fa46da59f1993ec51c3d75c,0x,18,https://www.coingecko.com/en/coins/bkex-token,https://ethplorer.io/images/BKKd0bd12a8.jpg
HUNT,HUNT,https://etherscan.io/address/0x9aab071b4129b083b01cb5a0cb513ce7eca26fa5,0x,18,https://www.coingecko.com/en/coins/hunt-token,https://ethplorer.io/images/HUNT9aab071b.png
BOSAGORA,BOA,https://etherscan.io/address/0x746dda2ea243400d5a63e0700f190ab79f06489e,0x,7,https://www.coingecko.com/en/coins/bosagora,https://ethplorer.io/images/BOA746dda2e.png
MCI Coin,MCI,https://etherscan.io/address/0x3b58c52c03ca5eb619eba171091c86c34d603e5f,0x,9,https://www.coingecko.com/en/coins/mci-coin,https://ethplorer.io
Celsius Network,CEL,https://etherscan.io/address/0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,0x,4,https://www.coingecko.com/en/coins/celsius-degree-token,https://ethplorer.io/images/CELaaaebe6f.jpg
8X8 Protocol,EXE,https://etherscan.io/address/0x412d397ddca07d753e3e0c61e367fb1b474b3e7d,0x44136ffa823589e2705b5b8881c88f4e306a9364,18,https://www.coingecko.com/en/coins/8x8-protocol,https://ethplorer.io/images/EXE412d397d.png
Arcblock,ABT,https://etherscan.io/address/0xb98d4c97425d9908e66e53a6fdf673acca0be986,0x4fd95f61a1b52b3c272ae449e95cfc307d19afd6,18,https://www.coingecko.com/en/coins/arcblock,https://ethplorer.io/images/ABTb98d4c97.png
Bitmax Token,BTMX,https://etherscan.io/address/0xcca0c9c383076649604ee31b20248bc04fdf61ca,0x6fe447441918a67f084cbe8073e8f19cded60d6e,18,https://www.coingecko.com/en/coins/bmax,https://ethplorer.io/images/BTMXcca0c9c3.jpg
Streamr DATAcoin,DATA,https://etherscan.io/address/0x0cf0ee63788a0849fe5297f3407f701e122cc023,0x1bb7804d12fa4f70ab63d0bbe8cb0b1992694338,18,https://www.coingecko.com/en/coins/streamr-datacoin,https://ethplorer.io/images/DATA0cf0ee63.png
